institution,location,size,focus,research,age,QS2023 Academic Reputation,QS2023 Employer Reputation,QS2023 Faculty Student Ratio,QS2023 Citations per Faculty,QS2023 International Faculty Ratio,QS2023 International Student Ratio,QS2023 International Research Network,QS2023 Employment Outcomes,QS2022 Academic Reputation,QS2022 Employer Reputation,QS2022 Faculty Student Ratio,QS2022 Citations per Faculty,QS2022 International Faculty Ratio,QS2022 International Student Ratio,THE2020 Teaching,THE2020 International,THE2020 Research,THE2020 Citations,THE2020 Income,THE2020 Overall Score,Number of Students,Student Staff Ratio,International Student Proportion
American University in Dubai,United Arab Emirates,<5000 Students,Focused,High,25-49 Years,8.8,18.8,16.3,2.3,100,100,5.8,66.8,7.6,15.5,17.7,2.2,100,100,,,,,,,,,
Aristotle University of Thessaloniki,Greece,>30000 Students,Fully Comprehensive,Very High,50-99 Years,27.4,28.1,3.5,15.9,1.5,6.8,84.5,14.3,26.6,25.5,3,35.6,1,14.9,19.2,41.2,16.8,64.3,41.3,34.2,46505,26.8,0.05
           Ateneo de Manila University,Philippines,12000-30000 Students,Fully Comprehensive,Medium,100+ Years,17.6,46.9,28.7,1.7,3.4,2.9,21.9,92.9,18,39.7,35.9,1.7,1.6,3.6,,,,,,,,,
Central Queensland University (CQUniversity Australia),Australia,5000-12000 Students,Comprehensive,Very High,25-49 Years,7,10.7,18.8,9.8,94.7,97.8,23,3.8,6.6,12.1,20.3,10,95.7,98.2,,,,,,,,,
China University of Geosciences,China (Mainland),12000-30000 Students,Focused,Very High,25-49 Years,4.5,1.3,58.8,20.1,1.7,3.3,52.4,2.4,4.1,1.3,61.4,42.4,1.1,3.4,,,,,,,,,
Chongqing University,China (Mainland),>30000 Students,Comprehensive,Very High,50-99 Years,6.9,3,15.6,56.9,9.1,2.2,60,10,6.9,3.1,14.6,61.6,1.5,2.4,23.2,21.4,21.3,35.2,60.3,27,44394,16,0.04
Comenius University in Bratislava,Slovakia,12000-30000 Students,Focused,Very High,100+ Years,12.6,2.8,53.8,3.4,3.2,29.3,60.6,49.2,12.9,3.1,49.3,4,1.3,26.5,22.2,52,13.1,22.3,34.6,22,20056,9.8,0.14
Coventry University,United Kingdom,>30000 Students,Comprehensive,High,25-49 Years,8.7,20.1,14.9,6.6,77.7,99.8,73,13.2,9.8,32.2,14.6,6.2,70.2,99.8,17.4,89.3,12.7,44.1,34.7,29.8,27531,16.4,0.46
Drexel University,United States,12000-30000 Students,Fully Comprehensive,Very High,100+ Years,8.4,6.8,25.2,36.6,24.8,22.1,71.3,39.5,9.2,7.3,32.1,30.9,4.4,22.2,35.8,50.3,20.4,64.7,41.5,41.1,19801,11.1,0.17
Gunma University,Japan,5000-12000 Students,Focused,Very High,50-99 Years,3,1.8,77.1,5.3,5,4.1,14.7,7.4,2.8,1.8,70.7,6.7,1.4,4,27.4,19.4,12.9,17.8,37.6,19.8,6473,7.7,0.03
International Islamic University Malaysia (IIUM),Malaysia,12000-30000 Students,Fully Comprehensive,High,25-49 Years,21.4,16.7,15.5,3.1,25.7,62.6,44.6,26,21,18,16.8,3.2,11.6,64.9,,,,,,,,,
Karaganda State Technical University,Kazakhstan,5000-12000 Students,Focused,High,50-99 Years,6.5,5,75,1,3.5,11.6,1,65.6,5.1,4.5,64.5,1,1.2,8.6,,,,,,,,,
Karl-Franzens-Universitaet Graz,Austria,12000-30000 Students,Comprehensive,Very High,100+ Years,20.9,7.6,13.5,12,48.4,30.6,58.5,12.3,20.8,10,14.7,14.6,33.2,32.3,,,,,,,,,
Konkuk University ,South Korea,12000-30000 Students,Fully Comprehensive,High,50-99 Years,7.3,9.9,56.1,10.3,6.5,12.6,40.9,9.3,7.3,11.3,58.1,11.5,2.1,12.6,,,,,,,,,
Kumamoto University,Japan,5000-12000 Students,Fully Comprehensive,Very High,50-99 Years,6.9,2.5,62.8,11.3,7.4,4,39,4,7.4,2.6,71.6,10.8,1.9,3.8,26,28.2,14.1,23.2,44.8,22.2,10032,7.6,0.07
National Chung Hsing University,Taiwan,12000-30000 Students,Comprehensive,Very High,50-99 Years,18.6,22.2,27.3,13,8.7,8.9,29.6,6.2,16.6,16.2,25.6,16.9,2.8,9.5,20.8,24.2,16.5,19,47.1,19.9,15077,14.9,0.05
New Jersey Institute of Technology (NJIT),United States,5000-12000 Students,Comprehensive,Very High,100+ Years,3.5,8,16,25.3,75.4,78.4,35.5,6.2,4.5,8.7,15.1,25.5,47.1,74.2,,,,,,,,,
Northumbria University at Newcastle,United Kingdom,12000-30000 Students,Comprehensive,Very High,50-99 Years,9.8,23.1,11.4,14.7,61.4,69.6,79.1,13.8,10.2,22.9,12.7,16.5,34.6,61.1,,,,,,,,,
O.P. Jindal Global University,India,5000-12000 Students,Specialist,Very High,10-24 Years,6.2,21.5,63,1.3,22.6,1.3,1.4,16.9,6.9,15.9,59.3,1.3,8.1,1.2,,,,,,,,,
Palacký University Olomouc,Czech Republic,12000-30000 Students,Focused,Very High,100+ Years,15.6,11.5,32.6,8.8,35,19.2,73.6,7.4,15.4,12.5,37.8,9,17.3,19.5,20.9,57.3,18.3,46.9,35.4,31,17443,13.8,0.12
Plekhanov Russian University of Economics,Russia,12000-30000 Students,Specialist,Very High,100+ Years,10.5,13.6,53.9,2.6,11.9,23.1,20.7,35.4,8.8,13,50.4,2.2,3.4,22.6,,,,,,,,,
Prince Mohammad Bin Fahd university,Saudi Arabia,<5000 Students,Specialist,Medium,10-24 Years,11.4,14.4,19.4,13.7,100,21.8,21.1,14.6,8.5,13.1,17.8,9.6,100,21.3,,,,,,,,,
S.D. Asfendiyarov Kazakh National Medical University,Kazakhstan,5000-12000 Students,Specialist,Low,10-24 Years,5.7,6.2,64.5,1,11.3,52.9,8.4,13.1,6.3,5,64.3,1,2.4,49.6,,,,,,,,,
Sechenov University,Russia,12000-30000 Students,Focused,Very High,50-99 Years,5,3.9,62.6,2.4,10.7,59.7,70.8,5.7,5.3,3.9,66,1.7,3.3,45,24.5,36.7,10,2.6,37.8,14.8,15354,8.2,0.16
Soochow University,China (Mainland),>30000 Students,Comprehensive,Very High,25-49 Years,5.1,2.3,16.8,64,7.5,2.9,44.4,8.3,5.9,2.5,18.2,64.2,2.4,3.1,23.4,28.3,20.8,68.2,37.5,36.8,44835,16.4,0.07
Taras Shevchenko National University of Kyiv,Ukraine,12000-30000 Students,Comprehensive,Very High,100+ Years,18.6,30.5,35.9,2.4,1.6,5.8,29.9,40.9,18.1,29.4,40.3,2.7,1.1,7.3,23.5,31.5,9.8,8.3,35,15.7,23229,8.8,0.03
Thammasat University,Thailand,>30000 Students,Fully Comprehensive,High,50-99 Years,21.9,37.8,25.3,2.1,12,1.8,18,81.6,23.2,40.7,27.7,2.2,3.7,1.9,18.6,34.4,11.7,11.7,38.9,16.2,33506,12.1,0.01
Universidad de Antioquia,Colombia,>30000 Students,Fully Comprehensive,High,100+ Years,30.1,44.1,4.6,4.4,4.4,1.3,44.6,19.5,27.4,52.5,4.8,4.6,1.6,1.3,,,,,,,,,
Universidad Externado de Colombia ,Colombia,12000-30000 Students,Focused,Medium,100+ Years,13.1,52.6,39.3,1.1,9.6,1.7,1.4,18.7,11.4,53.8,48.3,1.1,3.4,1.7,,,,,,,,,
Universidad ICESI,Colombia,5000-12000 Students,Fully Comprehensive,Medium,25-49 Years,4.8,10.9,71.1,1.7,5.4,2.4,8.5,15.6,4.9,16.1,66.9,1.6,2,2.3,,,,,,,,,
Universidad Nacional del Centro de la Provincia de Buenos Aires (UNICEN),Argentina,12000-30000 Students,Fully Comprehensive,Medium,25-49 Years,5.4,2.4,81.1,1.4,,,15,4,5.3,2.4,83,1.5,,,,,,,,,,,
Universidad Peruana Cayetano Heredia (UPCH),Peru,5000-12000 Students,Focused,Very High,50-99 Years,9.9,10.9,66.4,2.9,1.5,3.2,29.3,20.7,9.7,12.6,60.6,3,1.1,3.1,,,,,,,,,
            Universitat Ramon Llull,Spain,12000-30000 Students,Comprehensive,High,25-49 Years,10.4,47.1,7.1,8.7,94.4,35.6,34.3,10.6,11.3,46.3,8.1,8.4,94.9,37.3,,,,,,,,,
Universiti Teknologi MARA - UiTM,Malaysia,>30000 Students,Fully Comprehensive,Very High,10-24 Years,26.8,47.4,14.8,2.7,2,1.7,57.4,10.8,25.2,46.5,13.7,3,1.2,1.6,,,,,,,,,
University of Debrecen,Hungary,12000-30000 Students,Fully Comprehensive,High,100+ Years,17.8,9.4,27.4,3.8,8.4,78.3,57.4,30.7,17.4,11.6,34.4,4.1,5.3,79,19.9,55.7,10.6,28,37.7,22.7,26771,11.9,0.18
University of Genoa,Italy,12000-30000 Students,Fully Comprehensive,Very High,100+ Years,16.9,3.7,10.3,41.7,5.1,12.1,83.3,4.9,15.8,4.7,9.8,47.7,1.6,15.7,32.1,43.9,23.1,63.8,42.9,40.1,23977,19.5,0.09
University of Huddersfield,United Kingdom,12000-30000 Students,Comprehensive,Very High,25-49 Years,10.7,10.4,6.3,25,77.4,70.6,75.2,3.8,9.2,13.6,7.8,20.8,50.7,73.6,22.8,72,20,44.8,36.6,32.6,14483,20.7,0.24
University of Hull,United Kingdom,12000-30000 Students,Fully Comprehensive,High,50-99 Years,7.5,4.6,16.6,28.9,58.7,50.3,75.6,16.3,7.7,6.1,21,29.5,44.7,46.5,22.3,76.5,23,56.1,36.3,37.1,14047,18.2,0.19
University of Manitoba,Canada,>30000 Students,Fully Comprehensive,Very High,100+ Years,14.3,19.3,38.9,11,,30,76,27.7,13.9,17.8,41.3,12.3,,31.6,28,53.4,30.8,69.9,36.5,43.5,29311,29.4,0.17
University of Nebraska - Lincoln,United States,12000-30000 Students,Comprehensive,Very High,100+ Years,10.5,5.3,19.4,38.4,46.2,11.6,78.7,17.5,10.8,6.1,22.7,38.2,57.5,20.4,,,,,,,,,
University of Plymouth,United Kingdom,12000-30000 Students,Fully Comprehensive,High,100+ Years,9,12.9,12,34.9,48.3,33.9,80.8,6,9.4,12.1,12.4,43.2,28.4,33.9,20.3,70.3,19.3,67.5,35,38.3,17667,17.2,0.15
University of Southern Queensland ,Australia,12000-30000 Students,Comprehensive,High,25-49 Years,7.9,8.4,4.6,43,74.1,40.1,81.4,3.8,8.2,9.9,4.7,34.6,62.7,41.9,,,,,,,,,
American University,United States,5000-12000 Students,Comprehensive,High,100+ Years,16.3,29.2,32.3,4.8,3.3,17.2,16.2,54.7,15.9,28.9,34.6,5.2,1.4,18.2,40.9,32.3,19.5,65.7,39.1,41.2,11750,11,0.12
  American University of the Middle East,Kuwait,5000-12000 Students,Specialist,Medium,10-24 Years,13.1,17,17.2,2.9,100,24.2,23,96.9,9.7,14.6,16.1,2.6,100,23.8,,,,,,,,,
Boğaziçi University,Turkey,12000-30000 Students,Comprehensive,High,100+ Years,21,47.1,4.4,14.3,12.3,2.9,39,70.6,20.5,36.9,4.6,20.4,4.1,3,23.2,41.8,21.2,49.4,50.8,32.5,13202,23.2,0.03
Brno University of Technology,Czech Republic,12000-30000 Students,Focused,Very High,100+ Years,12.3,29.4,20.2,6.3,12.2,68,73.9,26.3,12,31.6,22.2,5.1,4,70.3,18.6,52.2,15.6,21.7,41.2,21.7,20275,19.6,0.22
Charles Darwin University ,Australia,5000-12000 Students,Comprehensive,Very High,10-24 Years,5.3,3.4,5.1,31.3,56.4,86.7,43.5,4.1,5.3,4.5,6.2,29.1,43,88.2,,,,,,,,,
City University of New York,United States,>30000 Students,Fully Comprehensive,Very High,50-99 Years,24.4,37.7,10.3,5.7,7.4,5.4,92.1,21.3,27.2,28.8,11.2,4.8,2.4,5.7,,,,,,,,,
Eötvös Loránd University,Hungary,12000-30000 Students,Comprehensive,Very High,100+ Years,23.9,15.3,17.1,7.1,5.6,15.3,68.2,43,24,17.4,21.8,5.8,2,25.2,21.4,52.6,17.7,48.2,35.1,31,26105,16.7,0.09
Free University of Bozen-Bolzano,Italy,<5000 Students,Focused,Very High,25-49 Years,4,1.6,12.1,39.7,79.8,28.5,53.3,6.6,4,2,11.7,37.3,87.3,30.1,20.6,76.4,13.1,77.9,35.4,40.1,3891,12,0.13
Institut Teknologi Sepuluh Nopember (ITS Surabaya),Indonesia,12000-30000 Students,Specialist,Very High,10-24 Years,13,30.3,30.7,1.8,60,2.9,12.2,19.8,11.2,22.4,26.1,2.1,45.7,4.5,,,,,,,,,
Jadavpur University,India,12000-30000 Students,Comprehensive,Very High,100+ Years,14.6,4.5,10.9,42.5,,1.1,51.3,22.6,13.3,4.8,14.1,47.2,,1.4,33.8,15.4,22.3,28.5,40.8,27.6,11528,18.4,0.01
Jinan University (China),China (Mainland),>30000 Students,Fully Comprehensive,Very High,50-99 Years,3.9,2,9.3,34.5,49.4,83.9,52.1,2.3,4.1,2.1,10.1,26.5,34.4,85.6,,,,,,,,,
Jouf University,Saudi Arabia,12000-30000 Students,Fully Comprehensive,Medium,10-24 Years,5.4,4.8,43.7,1.7,100,3.1,25.9,4.8,3,2.7,45.9,1.5,100,2.9,,,,,,,,,
Kagoshima University,Japan,5000-12000 Students,Fully Comprehensive,High,50-99 Years,5,2.4,68.6,4.7,4.5,3.3,30.8,3.4,4.8,2.9,71.1,5.1,1.6,3.5,21.4,23,11.4,18,42.9,18,10541,10.1,0.03
King Khalid University,Saudi Arabia,>30000 Students,Fully Comprehensive,High,10-24 Years,10,2.7,36.5,1.9,100,3.4,42.7,8.5,8.4,3.1,44.7,1.7,100,3.4,21.6,82.7,7.1,53.6,34.5,31.8,38865,8.1,0.11
"National Technical University of Ukraine ""Igor Sikorsky Kyiv Polytechnic Institute""",Ukraine,12000-30000 Students,Focused,Very High,100+ Years,14.7,26.7,43.6,1.5,1.2,2.8,15.2,15.7,12.9,25.6,39.7,1.4,1,3,,,,,,,,,
Pavol Jozef Šafárik University in Košice,Slovakia,5000-12000 Students,Fully Comprehensive,High,50-99 Years,3.9,2.6,57.7,4,2.2,61.8,34.3,27.8,4.6,2.3,64.3,4.1,1.2,64.3,,,,,,,,,
Princess Nourah bint Abdulrahman University,Saudi Arabia,12000-30000 Students,Comprehensive,High,50-99 Years,14.4,19.3,18.3,1.5,85.5,37,39.8,4.1,12,16.3,16.6,1.3,73.5,24.5,,,,,,,,,
Ritsumeikan University,Japan,>30000 Students,Comprehensive,High,100+ Years,13.3,68.6,9.3,3.6,27,11.4,28.1,9.1,12.9,59.1,9.5,3.7,12.7,9.7,19.1,33.6,13.2,16.6,36.8,18.1,34413,18.3,0.06
Southern Cross University ,Australia,5000-12000 Students,Comprehensive,Very High,10-24 Years,4.1,3.5,3.9,34.8,73.5,88.1,57.3,7.1,3.8,4,4.6,27.2,67,83.8,,,,,,,,,
Stevens Institute of Technology,United States,5000-12000 Students,Comprehensive,Very High,100+ Years,2.5,3.4,5.9,41.4,42.1,86.3,27.5,17,2.9,3.8,6.3,37.8,26,90.1,22.5,68.7,15.8,58.4,35.6,35.1,5943,16.7,0.38
Tallinn University of Technology (TalTech),Estonia,5000-12000 Students,Focused,Very High,100+ Years,12.7,10.8,25.1,9.4,35.2,37.3,79.7,84.6,12.7,15,22.6,12.6,19.1,30.1,,,,,,,,,
Tokushima University,Japan,5000-12000 Students,Fully Comprehensive,Very High,50-99 Years,4.5,1.5,67.4,8.3,3,2.8,20.6,8.7,5.2,1.6,71,9,1.4,2.9,26.5,22.6,19.1,15,55.1,21.3,7553,8.7,0.03
Tokyo Metropolitan University,Japan,5000-12000 Students,Comprehensive,Very High,10-24 Years,11.7,5.1,27.7,26.4,6.4,7.6,37.8,6,11.9,5.5,31.5,23,2,7.1,24.9,26.2,17.2,54.6,38.4,31.9,9160,13.6,0.05
Tokyo University of Agriculture and Technology ,Japan,5000-12000 Students,Focused,Very High,50-99 Years,11.8,5.6,14.1,41.9,5.6,6.4,46.2,5.1,12.2,6.1,14.1,52.9,1.9,6.7,,,,,,,,,
Universidad Católica del Uruguay (UCU),Uruguay,<5000 Students,Comprehensive,Medium,25-49 Years,11,16.1,49.9,1.3,11.8,2.8,6.9,44.5,9.5,17.6,42.3,1.2,3.7,2,,,,,,,,,
Universidad Central de Venezuela,Venezuela,>30000 Students,Fully Comprehensive,Medium,100+ Years,21.2,46.3,21.4,1.2,,,22,15.2,19.3,47.9,19.1,1.2,,,,,,,,,,,
Universidad de La Sabana,Colombia,5000-12000 Students,Fully Comprehensive,Medium,25-49 Years,17.3,51.4,19.9,1.9,8.5,2.4,7.5,7.6,15.1,53.2,23.2,1.8,2.2,2.6,,,,,,,,,
Universidad Iberoamericana IBERO,Mexico,12000-30000 Students,Fully Comprehensive,Medium,50-99 Years,17.5,39.9,29.3,1.3,6.6,2.6,7.1,50,16.2,44.3,27.2,1.3,1.9,3,,,,,,,,,
Universidad San Francisco de Quito (USFQ),Ecuador,5000-12000 Students,Fully Comprehensive,Medium,25-49 Years,12.5,17.7,32.6,2.2,62.9,2.2,18.5,19.6,10.8,16.1,30.1,2,50.8,2.1,,,,,,,,,
Universidade Federal de Minas Gerais      ,Brazil,>30000 Students,Fully Comprehensive,Very High,100+ Years,31,8.7,11.8,8.6,9,2.1,62.8,37.6,30.1,9.6,14.4,9,3,2.2,,,,,,,,,
Universiti Tenaga Nasional (UNITEN),Malaysia,<5000 Students,Specialist,Very High,25-49 Years,6.9,14.8,43.7,11.5,8.1,37.9,44.7,14.8,7.3,14.8,40.3,9.6,4,26.6,17.9,37.1,13.8,33.9,91.5,24.8,6780,16.1,0.06
University of Bradford,United Kingdom,5000-12000 Students,Comprehensive,Very High,50-99 Years,8.1,6.4,7.9,23.8,53.9,84.3,57.9,23.5,9.1,8.1,9.9,22.5,27.8,78.5,19.3,81.2,16.4,33,36.9,27.6,8917,17.7,0.28
University of Cincinnati,United States,>30000 Students,Fully Comprehensive,Very High,100+ Years,12.4,11,23.3,26.4,6.6,8.3,80.4,26.1,13.1,12.9,29.1,29.4,2.3,12.4,35.5,40.9,30.8,83.9,39.4,49.1,28434,20.4,0.09
University of Haifa,Israel,12000-30000 Students,Focused,Very High,50-99 Years,12.9,9,27.5,21.2,15.7,4.4,57,17,13.7,9.8,38.2,11.7,10.2,6.4,26.7,35.9,31.9,52.8,36.3,37,16164,21,0.02
University of Kentucky,United States,12000-30000 Students,Fully Comprehensive,Very High,100+ Years,11.6,14.9,21.2,28.4,16.5,4.4,82.2,15.6,11.5,16.6,24.3,32.6,6.8,5.1,37,38,24.9,55.5,38.4,39,27078,12.4,0.04
University of Mons ,Belgium,5000-12000 Students,Comprehensive,Very High,10-24 Years,5.8,20.5,3.7,44.3,32.6,38.7,45.3,16.8,5.3,14.6,4.4,51.2,18,38.9,,,,,,,,,
University of New Brunswick,Canada,5000-12000 Students,Comprehensive,Very High,100+ Years,4.4,12.1,24.9,21.2,64.8,26.9,52.2,16.6,4.5,11.4,30.4,21.3,54.6,35.4,,,,,,,,,
University of New Mexico,United States,12000-30000 Students,Fully Comprehensive,Very High,100+ Years,12.7,7.2,32.7,21.6,10.8,4.4,77.7,7.7,14.3,7.6,28.2,26.1,2.4,4.9,,,,,,,,,
University of Oklahoma,United States,12000-30000 Students,Fully Comprehensive,Very High,100+ Years,9.5,13.2,16.6,37.1,24.4,5.6,71,27,9.5,15,20.7,38.4,11.2,6.8,,,,,,,,,
University of Oregon,United States,12000-30000 Students,Comprehensive,Very High,100+ Years,17,11.9,14.3,30,8,6.3,55.9,30.2,17,12.5,18.2,27,2.7,10.8,34,37,29.3,83.7,34.7,47.7,22143,10.8,0.12
University of Pecs,Hungary,12000-30000 Students,Fully Comprehensive,High,100+ Years,12.7,8.6,35.6,2.7,9.1,62.5,40.9,16.6,12.6,10.5,37,2.9,1.6,69.2,,,,,,,,,
University of Portsmouth,United Kingdom,12000-30000 Students,Comprehensive,Very High,25-49 Years,7.9,13.3,8.4,17.9,73.7,81.6,79,6.5,8.1,16.5,10.2,19.8,71.4,74.2,17.8,87.7,16.2,71,34.9,39,20186,15.4,0.26
University of South Carolina,United States,>30000 Students,Fully Comprehensive,Very High,100+ Years,15.4,18.5,11.5,27.4,21.8,4.4,81,26.3,16.4,18.8,12,31.2,25.3,5,,,,,,,,,
University of the Basque Country,Spain,>30000 Students,Comprehensive,Very High,25-49 Years,18.1,5.5,35.7,12.8,2.7,4.4,91.7,9.7,17.5,5.6,33.3,8.2,1.3,6.1,22,41.5,17.1,47.3,37.1,30,42485,14.8,0.04
              University of Trieste,Italy,12000-30000 Students,Fully Comprehensive,High,50-99 Years,11.8,3.7,4.5,52.3,6.7,9.7,80.2,5.3,11.7,4,5.4,55.8,2.2,10.2,30.1,47.8,22.7,66.9,37.7,40.4,15933,23.5,0.08
University of Vermont,United States,12000-30000 Students,Fully Comprehensive,High,100+ Years,3.1,3.4,52.7,20.9,6.1,3.5,48.7,27.7,3.4,4,63.6,17.1,1.6,4.7,,,,,,,,,
University of Westminster,United Kingdom,12000-30000 Students,Comprehensive,High,25-49 Years,11.7,8.3,6.3,7.2,78.2,99.9,41.1,29.8,10.1,8.7,6.1,10.8,73.6,100,18.2,86.7,16.2,36.7,34.8,28.7,16401,17.4,0.46
Victoria University ,Australia,12000-30000 Students,Comprehensive,High,25-49 Years,7.3,6.4,2.3,36.3,44.7,77.2,52.8,7.8,8.1,8.2,2.1,46.9,29,89.7,,,,,,,,,
Vilnius Gediminas Technical University,Lithuania,5000-12000 Students,Specialist,Very High,50-99 Years,9.6,20.6,36.3,7.7,13,28.9,44.2,23.9,10.6,16.8,32.8,7.7,3,27.6,16.2,39.6,12.4,31.7,40.7,22.1,9551,14.1,0.1
         Virginia Commonwealth University,United States,12000-30000 Students,Fully Comprehensive,Very High,100+ Years,6.9,8.9,45.9,15.4,13.7,3.4,78,18,7.1,9.4,47.6,16.3,4.3,4,,,,,,,,,
Zayed University,United Arab Emirates,5000-12000 Students,Comprehensive,High,10-24 Years,11.8,13.9,25.6,4.8,100,2.1,41,14.5,10.1,10.1,32.1,4.1,100,2.4,,,,,,,,,
Beijing University of Technology,China (Mainland),12000-30000 Students,Comprehensive,Very High,50-99 Years,7.2,4.2,41,22.1,5.5,3.2,25.6,7.4,7.6,5.4,45.6,21.4,2.3,3.6,,,,,,,,,
Belarusian National Technical University (BNTU),Belarus,12000-30000 Students,Specialist,Medium,100+ Years,10.9,23.6,41.6,1.1,2.4,13.9,4.8,27.2,9.2,28.1,37,1.1,1.2,14.2,,,,,,,,,
Chonnam National University,South Korea,12000-30000 Students,Fully Comprehensive,Very High,50-99 Years,9.4,4.8,41.2,14.3,8.9,13.1,32.2,3.5,9.2,4.5,40.1,15.8,2.4,9.8,21.3,27.5,20.2,29.6,38.9,24.4,22469,16.9,0.06
Chungnam National University,South Korea,12000-30000 Students,Fully Comprehensive,Very High,50-99 Years,9.7,9.4,42.5,9.1,7.8,12.9,33,7.5,10.3,9.3,37.8,11.3,2.6,10.5,22.7,23,21.1,12.1,46.6,19.7,21908,19.9,0.04
Clark University,United States,<5000 Students,Comprehensive,Very High,100+ Years,2.8,2.1,29.6,22,15.9,59.3,25.3,56.5,3.6,2.2,27.5,42.1,4.6,70.8,24,57.5,22.7,79.3,34.4,43,3045,11.5,0.23
CY Cergy Paris University,France,5000-12000 Students,Focused,Very High,1-9 Years,3.1,2.3,36.8,10.3,46.3,48.3,43.3,3.5,3.2,2.3,34.3,10.5,24.4,55.6,,,,,,,,,
Dankook University ,South Korea,12000-30000 Students,Fully Comprehensive,High,50-99 Years,3.2,3.4,68.6,3.1,4.9,6.4,16.5,3.4,3.4,3.4,64.8,3.7,1.8,5,,,,,,,,,
Florida International University,United States,>30000 Students,Fully Comprehensive,High,50-99 Years,14.3,24.2,11.2,16,20.9,13.3,90.6,14.5,14.4,22.4,10.5,15.2,9.4,15.4,30.4,39.7,22.6,62.3,38,38.5,34203,23.8,0.08
Howard University,United States,5000-12000 Students,Fully Comprehensive,High,100+ Years,5.7,9.9,56.7,4,1,5,22.4,34.3,6,11,66.5,4.4,1,6.8,42.8,34,15.3,99,34.4,50.5,8449,7.5,0.08
Instituto Politécnico Nacional (IPN),Mexico,>30000 Students,Focused,Very High,50-99 Years,20,50.9,9.2,2.8,2.9,1.2,60.9,9.5,20.1,50.4,10.6,3,1.3,1.2,,,,,,,,,
Instituto Tecnológico Autónomo de México (ITAM),Mexico,5000-12000 Students,Focused,High,50-99 Years,14.2,47.4,11.9,2,64.1,1.7,5.1,68.7,13.8,47.9,15.4,1.8,35,1.7,,,,,,,,,
Instituto Tecnológico de Buenos Aires (ITBA),Argentina,<5000 Students,Focused,High,50-99 Years,8.4,24.3,31.9,1.7,43.2,14.8,5.8,36.4,7.8,27,43.2,1.7,14.8,13.9,,,,,,,,,
Keele University ,United Kingdom,5000-12000 Students,Fully Comprehensive,Very High,50-99 Years,6.1,2.9,17.7,24.9,54.7,30.4,59.8,3.3,6.2,3.3,19.9,28,37.1,31.3,,,,,,,,,
Lanzhou University,China (Mainland),>30000 Students,Comprehensive,Very High,100+ Years,7.3,1.7,24.7,35.3,2.7,1.7,59.9,4.3,7.4,1.7,22.8,37.8,1.3,1.7,,,,,,,,,
Lobachevsky University,Russia,12000-30000 Students,Focused,Very High,100+ Years,8.1,4.7,52.8,2.3,2.5,21.5,17.8,5.5,8.8,4.4,62.1,2.4,1.3,17.2,,,,,,,,,
"Manipal Academy of Higher Education, Manipal, Karnataka, India",India,12000-30000 Students,Fully Comprehensive,High,25-49 Years,7.9,8.9,51.9,3.6,1.8,7.6,46.6,10.7,7.9,8.2,52.8,3.2,1.1,5.7,,,,,,,,,
Memorial University of Newfoundland,Canada,12000-30000 Students,Fully Comprehensive,High,50-99 Years,6.2,7.1,11.9,28.1,27.6,62.1,77,7.1,5.8,8.3,13.8,28.6,13.2,55.5,20.5,74.1,19.9,57.7,61,36.5,15127,13.7,0.18
Michigan Technological University,United States,5000-12000 Students,Comprehensive,Very High,100+ Years,4.6,5.6,28.3,35.2,16.4,10.8,45.3,17.5,5.8,7.2,27.9,40.3,4.6,16.8,,,,,,,,,
Middlesex University,United Kingdom,12000-30000 Students,Comprehensive,High,25-49 Years,5,5,8,16.3,85.2,98.9,56.5,9.7,5.4,6,8.5,15.4,83.6,96.2,19.4,88.3,17.3,74.2,34.6,40.8,15649,18,0.45
Osaka Prefecture University ,Japan,5000-12000 Students,Comprehensive,Very High,50-99 Years,4.9,7.3,52.6,9.8,4.9,3.9,20.4,5.9,5.2,7.6,54.2,12.2,1.7,4.1,,,,,,,,,
Paris Lodron University of Salzburg,Austria,5000-12000 Students,Comprehensive,Very High,100+ Years,8.8,1.1,7.7,10.6,92.6,93.1,68.3,19.1,8.9,2.4,4.5,24.7,,97.4,,,,,,,,,
Philipps-Universität Marburg ,Germany,12000-30000 Students,Fully Comprehensive,High,100+ Years,13.8,4.3,6.9,33.7,18.4,25.1,69.2,6.6,15,4.2,8.9,36.2,6.1,26,,,,,,,,,
Pontificia Universidad Católica de Valparaíso,Chile,12000-30000 Students,Comprehensive,High,50-99 Years,25.2,25,5.7,6.6,12.3,1.6,44.7,4,22.6,28.7,6.1,7.2,4.4,1.6,,,,,,,,,
Riga Technical University,Latvia,5000-12000 Students,Comprehensive,Very High,100+ Years,11.8,22.4,22.6,3,15.9,57.5,30,61,12.1,22.1,23.7,3.2,5.6,49.9,19.5,43,17.5,20.1,55.5,21.7,10805,29.8,0.11
Saint Petersburg Electrotechnical University ETU-LETI,Russia,5000-12000 Students,Focused,Very High,100+ Years,4.1,3.9,53.4,1.8,5.4,51.5,11,4.3,4.5,3.6,57.3,1.7,1.8,52.7,,,,,,,,,
Shiraz University,"Iran, Islamic Republic of",12000-30000 Students,Comprehensive,Very High,50-99 Years,7.3,6,5.9,53.4,1.1,1.7,48.8,26.1,7,5.5,6.3,56.7,,1.6,24.8,18.1,25,27.2,57,25.9,14286,20.6,0
